node_id,trial,cascade_size_frac,time_to_stability
20,3,0.3,11
20,4,1.0,25
20,5,1.0,24
20,6,0.0375,1
20,7,0.0375,1
20,8,0.15,4
20,9,0.0375,1
20,10,0.0625,3
20,11,1.0,31
20,12,0.1,3
20,13,1.0,21
20,14,1.0,22
20,15,0.05,1
20,16,0.05,2
20,17,0.0875,5
20,18,0.0625,3
20,19,0.0375,1
20,20,1.0,18
20,21,0.1375,6
20,22,0.1,3
20,23,1.0,23
20,24,0.0375,1
20,25,1.0,31
20,26,0.3,7
20,27,0.1625,4
20,28,1.0,21
20,29,0.075,5
20,30,0.0625,3
20,31,1.0,29
20,32,0.1625,4
20,33,0.1,7
20,34,0.2875,7
20,35,1.0,25
20,36,0.0375,1
20,37,0.0375,1
20,38,0.0375,1
20,39,0.05,1
21,0,0.0125,0
21,1,0.0125,0
21,2,1.0,24
21,3,0.0125,0
21,4,0.05,2
21,5,0.05,2
21,6,0.1375,6
21,7,0.0125,0
21,8,0.0125,0
21,9,0.025,1
21,10,0.0375,3
21,11,0.0125,0
21,12,1.0,21
21,13,1.0,26
21,14,1.0,22
21,15,0.0125,0
21,16,0.0125,0
21,17,0.025,1
21,18,0.0375,2
21,19,0.0125,0
21,20,0.0875,5
21,21,1.0,26
21,22,1.0,25
21,23,1.0,29
21,24,0.025,1
21,25,1.0,23
21,26,0.0125,0
21,27,1.0,25
21,28,0.075,2
21,29,1.0,25
21,30,0.1,4
21,31,0.25,9
21,32,0.0125,0
21,33,0.125,4
21,34,1.0,23
21,35,0.0375,2
21,36,0.0125,0
21,37,0.05,2
21,38,0.0125,0
21,39,0.025,1
22,0,0.225,6
22,1,0.05,1
22,2,0.275,9
22,3,0.0375,2
22,4,0.0875,3
22,5,0.0375,1
22,6,0.1375,4
22,7,0.0375,1
22,8,1.0,29
22,9,0.0375,1
22,10,0.0375,1
22,11,0.1625,7
22,12,0.1,4
22,13,1.0,28
22,14,1.0,30
22,15,1.0,23
22,16,1.0,20
22,17,0.05,2
22,18,0.0875,3
22,19,0.05,1
22,20,0.0375,1
22,21,0.075,3
22,22,0.0375,1
22,23,1.0,21
22,24,1.0,20
22,25,1.0,21
22,26,0.0375,1
22,27,0.1,4
22,28,0.0625,2
22,29,0.05,1
22,30,0.0375,1
22,31,0.0375,1
22,32,0.225,8
22,33,0.125,5
22,34,1.0,27
22,35,0.0375,1
22,36,0.075,4
22,37,0.15,8
22,38,0.1375,6
22,39,0.05,1
23,0,0.0125,0
23,1,0.0125,0
23,2,0.0375,2
23,3,1.0,20
23,4,0.0125,0
23,5,0.0125,0
23,6,0.0125,0
23,7,1.0,33
23,8,1.0,26
23,9,0.0125,0
23,10,1.0,26
23,11,0.1125,5
23,12,0.2,8
23,13,0.0125,0
23,14,1.0,23
23,15,0.0125,0
23,16,0.9875,24
23,17,0.0125,0
23,18,0.0125,0
23,19,1.0,26
23,20,0.0125,0
23,21,0.3,10
23,22,0.0125,0
23,23,0.0125,0
23,24,0.0125,0
23,25,1.0,23
23,26,0.0125,0
23,27,0.0125,0
23,28,0.0125,0
23,29,0.0125,0
23,30,0.0125,0
23,31,0.125,5
23,32,0.25,8
23,33,1.0,23
23,34,0.0125,0
23,35,0.0125,0
23,36,1.0,30
23,37,1.0,30
23,38,0.0125,0
23,39,1.0,18
24,0,0.05,2
24,1,0.025,1
24,2,0.0125,0
24,3,0.05,2
24,4,0.0125,0
24,5,0.0125,0
24,6,1.0,30
24,7,0.0375,2
24,8,0.0625,2
24,9,1.0,26
24,10,1.0,24
24,11,0.0125,0
24,12,0.0125,0
24,13,0.0125,0
24,14,0.0125,0
24,15,0.0375,2
24,16,0.0125,0
24,17,0.225,8
24,18,0.0125,0
24,19,0.0125,0
24,20,0.05,4
24,21,0.0125,0
24,22,0.0125,0
24,23,1.0,29
24,24,0.0125,0
24,25,0.0125,0
24,26,1.0,25
24,27,0.0125,0
24,28,0.0375,1
24,29,0.025,1
24,30,0.0125,0
24,31,0.0125,0
24,32,0.0125,0
24,33,0.0125,0
24,34,0.0125,0
24,35,0.1,5
24,36,1.0,31
24,37,0.0125,0
24,38,1.0,26
24,39,0.1,4
25,0,0.1,4
25,1,0.1,2
25,2,0.0125,0
25,3,0.0125,0
25,4,0.0125,0
25,5,0.05,2
25,6,0.0625,2
25,7,0.0125,0
25,8,0.0375,2
25,9,1.0,23
25,10,0.0125,0
25,11,1.0,29
25,12,0.0125,0
25,13,0.125,7
25,14,1.0,29
25,15,0.0875,4
25,16,1.0,23
25,17,0.0125,0
25,18,0.1,4
25,19,0.125,4
25,20,0.0125,0
25,21,1.0,23
25,22,0.0125,0
25,23,0.025,1
25,24,0.0125,0
25,25,1.0,25
25,26,0.0125,0
25,27,0.0125,0
25,28,0.0125,0
25,29,0.025,1
25,30,0.025,1
25,31,1.0,28
25,32,0.0125,0
25,33,0.05,2
25,34,0.2,5
25,35,0.0125,0
25,36,0.0125,0
25,37,0.0125,0
25,38,0.0625,2
25,39,0.0125,0
26,0,1.0,22
26,1,0.0125,0
26,2,1.0,24
26,3,1.0,25
26,4,1.0,18
26,5,0.0125,0
26,6,0.0125,0
26,7,0.0125,0
26,8,1.0,29
26,9,0.0125,0
26,10,0.0125,0
26,11,0.0125,0
26,12,1.0,23
26,13,0.0125,0
26,14,0.0125,0
26,15,0.025,1
26,16,1.0,27
26,17,0.025,1
26,18,0.425,10
26,19,0.1625,6
26,20,0.0625,3
26,21,0.0125,0
26,22,0.025,1
26,23,0.025,1
26,24,0.0125,0
26,25,0.0125,0
26,26,0.1,4
26,27,1.0,20
26,28,0.0125,0
26,29,1.0,24
26,30,1.0,35
26,31,0.2,8
26,32,0.0125,0
26,33,1.0,24
26,34,0.0125,0
26,35,1.0,24
26,36,0.0375,2
26,37,0.0875,3
26,38,1.0,24
26,39,0.025,1
27,0,1.0,21
27,1,0.1125,3
27,2,0.0375,1
27,3,0.05,2
27,4,0.15,4
27,5,0.1,5
27,6,0.0375,2
27,7,1.0,22
27,8,0.05,2
27,9,0.025,1
27,10,0.975,18
27,11,1.0,28
27,12,1.0,21
27,13,0.0375,1
27,14,0.025,1
27,15,0.025,1
27,16,0.0875,4
27,17,1.0,22
27,18,0.1625,5
27,19,1.0,27
27,20,0.0375,1
27,21,1.0,27
27,22,0.025,1
27,23,0.025,1
27,24,0.025,1
27,25,0.05,3
27,26,0.175,7
27,27,0.0625,2
27,28,0.1375,6
27,29,1.0,22
27,30,1.0,26
27,31,1.0,28
27,32,0.075,4
27,33,0.075,2
27,34,0.1125,7
27,35,0.0875,6
27,36,0.15,6
27,37,0.025,1
27,38,0.0375,1
27,39,1.0,25
28,0,0.1375,4
28,1,1.0,27
28,2,0.05,1
28,3,1.0,20
28,4,0.1125,5
28,5,0.075,2
28,6,0.0375,1
28,7,0.175,2
28,8,0.075,2
28,9,0.05,2
28,10,1.0,24
28,11,0.1375,3
28,12,0.05,1
28,13,1.0,24
28,14,0.05,1
28,15,1.0,21
28,16,1.0,22
28,17,1.0,26
28,18,0.0875,3
28,19,0.0375,1
28,20,0.3625,11
28,21,1.0,31
28,22,0.0375,1
28,23,0.0375,1
28,24,1.0,25
28,25,1.0,24
28,26,1.0,19
28,27,0.0375,3
28,28,0.05,1
28,29,0.05,1
28,30,1.0,21
28,31,0.0375,1
28,32,0.075,4
28,33,0.0375,1
28,34,0.2125,7
28,35,0.0375,1
28,36,0.15,3
28,37,1.0,25
28,38,0.1,3
28,39,0.2875,6
29,0,1.0,23
29,1,1.0,27
29,2,1.0,21
29,3,0.0375,2
29,4,1.0,21
29,5,0.0625,2
29,6,0.1875,7
29,7,0.0625,3
29,8,1.0,19
29,9,0.025,1
29,10,0.15,7
29,11,1.0,23
29,12,1.0,18
29,13,0.0375,2
29,14,0.3625,12
29,15,0.025,1
29,16,0.025,1
29,17,0.15,7
29,18,0.025,1
29,19,0.025,1
29,20,0.025,1
29,21,0.0375,2
29,22,0.025,2
29,23,1.0,26
29,24,0.025,1
29,25,1.0,22
29,26,1.0,26
29,27,0.1375,6
29,28,1.0,30
29,29,0.0625,2
29,30,0.025,1
29,31,0.025,1
29,32,0.4,6
29,33,1.0,21
29,34,0.2,8
29,35,1.0,24
29,36,0.025,1
29,37,0.05,2
29,38,0.025,1
29,39,0.025,1
30,0,0.0125,0
30,1,0.0125,0
30,2,0.0125,0
30,3,0.0125,0
30,4,0.0125,0
30,5,0.0125,0
30,6,0.0125,0
30,7,0.15,5
30,8,0.0125,0
30,9,1.0,25
30,10,0.0125,0
30,11,0.0125,0
30,12,0.0125,0
30,13,0.0625,2
30,14,0.0125,0
30,15,0.0125,0
30,16,0.1625,5
30,17,0.05,3
30,18,0.0125,0
30,19,0.025,1
30,20,0.025,1
30,21,1.0,19
30,22,0.0125,0
30,23,0.0625,2
30,24,0.025,1
30,25,1.0,18
30,26,0.0125,0
30,27,1.0,25
30,28,1.0,21
30,29,1.0,26
30,30,1.0,23
30,31,0.0125,0
30,32,0.0125,0
30,33,0.0125,0
30,34,0.1875,6
30,35,0.125,4
30,36,0.05,3
30,37,0.025,1
30,38,0.45,10
30,39,0.0125,0
31,0,1.0,27
31,1,0.025,1
31,2,0.075,4
31,3,0.1,5
31,4,0.05,2
31,5,0.05,2
31,6,0.025,1
31,7,0.025,1
31,8,0.025,2
31,9,1.0,20
31,10,0.1,5
31,11,0.0375,2
31,12,0.025,1
31,13,0.1,4
31,14,0.075,2
31,15,0.025,1
31,16,0.0375,1
31,17,1.0,20
31,18,0.025,1
31,19,0.025,1
31,20,1.0,24
31,21,0.075,4
31,22,1.0,35
31,23,1.0,26
31,24,1.0,25
31,25,0.2375,10
31,26,0.025,1
31,27,0.1375,5
31,28,0.2125,6
31,29,0.0375,2
31,30,1.0,22
31,31,0.0625,4
31,32,0.0375,1
31,33,0.0375,1
31,34,0.025,1
31,35,0.2375,8
31,36,1.0,20
31,37,1.0,30
31,38,0.1375,5
31,39,0.025,1
32,0,0.0125,0
32,1,0.0125,0
32,2,0.0125,0
32,3,0.025,1
32,4,0.1375,7
32,5,1.0,19
32,6,0.0125,0
32,7,0.1625,7
32,8,0.0125,0
32,9,0.1125,2
32,10,0.15,5
32,11,0.175,5
32,12,0.025,1
32,13,1.0,26
32,14,1.0,27
32,15,1.0,18
32,16,0.025,1
32,17,0.025,1
32,18,0.025,1
32,19,0.075,3
32,20,0.0125,0
32,21,1.0,24
32,22,0.0625,2
32,23,0.0125,0
32,24,0.0125,0
32,25,0.0125,0
32,26,0.0125,0
32,27,1.0,24
32,28,0.0125,0
32,29,0.1375,5
32,30,0.0125,0
32,31,0.225,7
32,32,1.0,25
32,33,0.15,5
32,34,0.0625,4
32,35,0.0125,0
32,36,1.0,16
32,37,1.0,23
